Date,Predicted_PM2_5,AQI_Category
2026-02-19,14.562234758164413,Moderate
2026-02-20,14.376212432301275,Moderate
2026-02-21,13.70975521930474,Moderate
2026-02-22,13.271785627061998,Moderate
2026-02-23,14.86278652150935,Moderate
2026-02-24,13.958376940092792,Moderate
2026-02-25,13.64488650700192,Moderate
2026-02-26,15.817611872217915,Moderate
2026-02-27,15.1422060101483,Moderate
2026-02-28,13.566877504409348,Moderate
2026-03-01,14.827644630180027,Moderate
2026-03-02,15.20199044177545,Moderate
2026-03-03,15.788500029870688,Moderate
2026-03-04,12.803717854769662,Moderate
2026-03-05,14.880444020461637,Moderate
2026-03-06,15.231044055357588,Moderate
2026-03-07,13.981395040653279,Moderate
2026-03-08,16.07740034893814,Moderate
2026-03-09,13.977942469975332,Moderate
2026-03-10,15.80584474520811,Moderate
2026-03-11,16.131462315648726,Moderate
2026-03-12,15.377756257518817,Moderate
2026-03-13,16.600183200304794,Moderate
2026-03-14,16.110050607202446,Moderate
2026-03-15,15.520055342896367,Moderate
2026-03-16,16.120673794878112,Moderate
2026-03-17,14.436285774319952,Moderate
2026-03-18,15.963034618180618,Moderate
2026-03-19,15.080207420277889,Moderate
2026-03-20,14.103376256900129,Moderate
2026-03-21,14.453391316296823,Moderate
2026-03-22,14.927820606392913,Moderate
2026-03-23,15.879901249462907,Moderate
2026-03-24,14.292794971547668,Moderate
2026-03-25,13.85003586879401,Moderate
2026-03-26,14.84027676894196,Moderate
2026-03-27,14.268996454237657,Moderate
2026-03-28,14.897310106612668,Moderate
2026-03-29,13.891992232944864,Moderate
2026-03-30,13.658430415929503,Moderate
2026-03-31,14.524858962541984,Moderate
2026-04-01,12.963673262055154,Moderate
2026-04-02,13.974034022801984,Moderate
2026-04-03,13.824587172750745,Moderate
2026-04-04,12.431218138160187,Moderate
2026-04-05,13.255346853674434,Moderate
2026-04-06,11.811187677296779,Good
2026-04-07,11.6133861981629,Good
2026-04-08,12.362270667858326,Moderate
2026-04-09,11.953790725861653,Good
2026-04-10,12.32773678505376,Moderate
2026-04-11,12.895587312048574,Moderate
2026-04-12,12.556048517570733,Moderate
2026-04-13,13.384071375955203,Moderate
2026-04-14,12.6291072307269,Moderate
2026-04-15,13.737050044928564,Moderate
2026-04-16,13.07770029763121,Moderate
2026-04-17,11.800039972798983,Good
2026-04-18,12.79266719816726,Moderate
2026-04-19,13.139962720438593,Moderate
2026-04-20,12.1274871141972,Moderate
2026-04-21,12.706801355707439,Moderate
2026-04-22,12.337305170281164,Moderate
2026-04-23,12.084081804314568,Moderate
2026-04-24,12.462791062279614,Moderate
2026-04-25,13.900416761730751,Moderate
2026-04-26,13.524973142169062,Moderate
2026-04-27,13.573149049063915,Moderate
2026-04-28,13.481711945385067,Moderate
2026-04-29,14.538552932019797,Moderate
2026-04-30,13.174692454815654,Moderate
2026-05-01,13.110913407289338,Moderate
2026-05-02,12.296728256266258,Moderate
2026-05-03,13.16037318269013,Moderate
2026-05-04,13.694070064365286,Moderate
2026-05-05,13.171129470879391,Moderate
2026-05-06,13.564697416259769,Moderate
2026-05-07,14.047921792975927,Moderate
2026-05-08,13.083220663680395,Moderate
2026-05-09,11.341618749696842,Good
2026-05-10,13.339923064253233,Moderate
2026-05-11,12.49870950801492,Moderate
2026-05-12,11.83645359979822,Good
2026-05-13,11.641244048814196,Good
2026-05-14,10.903621135228876,Good
2026-05-15,10.76311045547104,Good
2026-05-16,10.96074862726159,Good
2026-05-17,12.413337788798092,Moderate
2026-05-18,12.839489808643592,Moderate
2026-05-19,12.165950599295616,Moderate
2026-05-20,11.589066785391559,Good
2026-05-21,12.40149047223334,Moderate
2026-05-22,11.622197656609636,Good
2026-05-23,11.27973273658563,Good
2026-05-24,11.271153436525873,Good
2026-05-25,12.818225404780753,Moderate
2026-05-26,13.439056304019465,Moderate
2026-05-27,12.017992109858746,Moderate
2026-05-28,11.91991633803104,Good
2026-05-29,11.387036012694304,Good
2026-05-30,12.936638756765538,Moderate
2026-05-31,11.922445771391342,Good
2026-06-01,11.602214814032983,Good
2026-06-02,11.534894467259848,Good
2026-06-03,12.244898153624932,Moderate
2026-06-04,13.192460354076838,Moderate
2026-06-05,11.928954431327465,Good
2026-06-06,11.248041862092458,Good
2026-06-07,11.357288525936038,Good
2026-06-08,11.365955580624588,Good
2026-06-09,12.157888318379003,Moderate
2026-06-10,11.203528534728624,Good
2026-06-11,10.97745943071138,Good
2026-06-12,10.639918645653157,Good
2026-06-13,10.883735078913714,Good
2026-06-14,11.985060396812408,Good
2026-06-15,11.304036011419274,Good
2026-06-16,10.840635339202182,Good
2026-06-17,9.006544215423917,Good
2026-06-18,10.927642100395058,Good
2026-06-19,11.427819085815392,Good
2026-06-20,11.373606458961794,Good
2026-06-21,10.024769375649715,Good
2026-06-22,10.21299893461905,Good
2026-06-23,9.916678545041428,Good
2026-06-24,8.675692921548514,Good
2026-06-25,8.375391172576222,Good
2026-06-26,10.022119822088415,Good
2026-06-27,9.819307131950707,Good
2026-06-28,9.016983877305949,Good
2026-06-29,9.68005740114808,Good
2026-06-30,8.254240397162544,Good
2026-07-01,9.85978613661921,Good
2026-07-02,10.258191422925913,Good
2026-07-03,10.018288623732671,Good
2026-07-04,10.051043463552567,Good
2026-07-05,10.83860590937335,Good
2026-07-06,10.287603821236383,Good
2026-07-07,11.660836508026936,Good
2026-07-08,10.108475959984226,Good
2026-07-09,9.736527913295886,Good
2026-07-10,11.370612457771033,Good
2026-07-11,10.659767686772044,Good
2026-07-12,11.367398389435648,Good
2026-07-13,11.444942074809285,Good
2026-07-14,11.722264630815335,Good
2026-07-15,12.1140416212052,Moderate
2026-07-16,13.129497894745528,Moderate
2026-07-17,11.954671476827055,Good
2026-07-18,12.196873827580268,Moderate
2026-07-19,12.526865214431247,Moderate
2026-07-20,12.603205995690388,Moderate
2026-07-21,13.086982309914173,Moderate
2026-07-22,14.14170866588526,Moderate
2026-07-23,13.135442930129754,Moderate
2026-07-24,13.433741781253337,Moderate
2026-07-25,12.882852180862448,Moderate
2026-07-26,12.800552749479312,Moderate
2026-07-27,13.186768288855342,Moderate
2026-07-28,12.319073273623886,Moderate
2026-07-29,13.53772264267405,Moderate
2026-07-30,14.990104579577565,Moderate
2026-07-31,14.0712804347675,Moderate
